ADMINISTRATOR,CODIST,SCHOOL NAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,PHONE,FAX,ESU AFFILIATION,COUNTY,EMAIL
Fr. mike   Morin,78-0701-000,ST WENCESLAUS ELEMENTARY SCH,108 N LINDEN,,WAHOO,NE,68066-1953,(402)443-3336,(402)443-5551,02,SAUNDERS,fr.mike-morin@cdolinc.net
Fr. mike   Morin,78-0702-000,BISHOP NEUMANN HIGH SCHOOL,202 S LINDEN,,WAHOO,NE,68066-2057,(402)443-4151,(402)443-5551,02,SAUNDERS,fr.mike-morin@cdolinc.net
Rev John Perkinton,78-0703-000,ST JOHN NEPOMUCENE ELEM SCHOOL,130 N FRONT,PO BOX 10,WESTON,NE,68070-0010,(402)642-5234,(402)642-5590,02,SAUNDERS,fr.john-perkinton@cdolinc.net
Stanford Hendricks,78-0009-000,YUTAN PUBLIC SCHOOLS,1200 2ND ST,,YUTAN,NE,68073-3054,(402)625-2243,(402)625-2812,02,SAUNDERS,stan.hendricks@esu2.org
Harlan Ptomey,78-0107-000,CEDAR BLUFFS PUBLIC SCHOOLS,110 E MAIN ST,PO BOX 66,CEDAR BLUFFS,NE,68015-0066,(402)628-2060,(402)628-2108,02,SAUNDERS,hptomey@esu2.org
Dale Rawson,78-0072-000,MEAD PUBLIC SCHOOLS,115 N ELM,PO BOX 158,MEAD,NE,68041-0158,(402)624-2745,(402)624-2001,02,SAUNDERS,drawson@esu2.org
Jason Libal,78-0001-000,ASHLAND-GREENWOOD PUBLIC SCHS,1842 FURNAS STREET,,ASHLAND,NE,68003-1899,(402)944-2128,(402)944-3310,02,SAUNDERS,jason.libal@agps.org
Bobby Hastings,79-0016-000,GERING PUBLIC SCHOOLS,1519 10TH ST,,GERING,NE,69341-2942,(308)436-3125,(308)436-4301,13,SCOTTS BLUFF,bhastings@geringschools.net
Tim Cody,79-0002-000,MINATARE PUBLIC SCHOOLS,1107 7TH ST,PO BOX 425,MINATARE,NE,69356-0425,(308)783-1232,(308)783-1050,13,SCOTTS BLUFF,supttimcody@gmail.com
Richard Myles,79-0032-000,SCOTTSBLUFF PUBLIC SCHOOLS,1722 1ST AVENUE,,SCOTTSBLUFF,NE,69361-1609,(308)635-6200,(308)635-6217,13,SCOTTS BLUFF,rmyles@sbps.net
Joseph Sherwood,79-0011-000,MORRILL PUBLIC SCHOOLS,,PO BOX 486,MORRILL,NE,69358-0486,(308)247-3414,(308)247-2196,13,SCOTTS BLUFF,joe.sherwood@mpslions.org
Katherine Urbanek,79-0031-000,MITCHELL PUBLIC SCHOOLS,1819 19TH AVE,,MITCHELL,NE,69357-1199,(308)623-1707,(308)623-1330,13,SCOTTS BLUFF,kurbanek@mpstigers.com
,79-0702-000,ST AGNES ELEMENTARY SCHOOL,205 E 23RD ST,,SCOTTSBLUFF,NE,69361-2026,(308)632-6918,(308)632-6943,13,SCOTTS BLUFF,
,79-0703-000,VALLEY VIEW SDA CHRISITAN SCH,415 W 31ST STREET,,SCOTTSBLUFF,NE,69361-4319,(308)632-8804,,00,SCOTTS BLUFF,
,79-0705-000,COMMUNITY CHRISTIAN SCHOOLS,511 W 14TH ST,,SCOTTSBLUFF,NE,69361-3009,(308)632-2230,(308)632-2230,13,SCOTTS BLUFF,
,80-0703-000,OUR REDEEMER LUTHERAN ELEM SCH,425 SOUTH ST,,STAPLEHURST,NE,68439-3028,(402)535-2251,(402)535-2421,06,SEWARD,
,80-0704-000,ST PAUL'S LUTHERAN ELEM SCHOOL,1100 D ST,,UTICA,NE,68456-6043,(402)534-2121,(888)534-3015,06,SEWARD,
Don   Weber,80-0701-000,ST JOHN LUTHERAN SCHOOL,877 N COLUMBIA,,SEWARD,NE,68434-1598,(402)643-4535,(402)643-4536,06,SEWARD,dweber55@yahoo.com
Rev John Perkinton,80-0710-000,ST VINCENT DEPAUL CATHOLIC SCH,152 PINEWOOD AVE,,SEWARD,NE,68434-1047,(402)643-9525,(402)643-2594,06,SEWARD,fr.john-perkinton@cdolinc.net
Josh Fields,80-0009-000,SEWARD PUBLIC SCHOOLS,410 SOUTH ST,,SEWARD,NE,68434-2541,(402)643-2941,(402)643-4986,06,SEWARD,josh.fields@sewardschools.org
Kevin Wingard,80-0005-000,MILFORD PUBLIC SCHOOLS,1200 W 1ST STREET,PO BOX C,MILFORD,NE,68405-0613,(402)761-3321,(402)761-3322,06,SEWARD,kevin.wingard@milfordpublicschools.org
Timothy Dewaard,80-0567-000,CENTENNIAL PUBLIC SCHOOLS,1301 CENTENNIAL,PO BOX 187,UTICA,NE,68456-0187,(402)534-2291,(402)534-2291,06,SEWARD,tim.dewaard@centennialbroncos.org
Lori Liggett,81-0010-000,GORDON-RUSHVILLE PUBLIC SCHS,810 N OAK ST,PO BOX 530,GORDON,NE,69343-0530,(308)282-1322,(308)282-2207,13,SHERIDAN,lori.liggett@grmustangs.org
D Lechtenberg,81-0003-000,HAY SPRINGS PUBLIC SCHOOLS,407 N BAKER ST,PO BOX 280,HAY SPRINGS,NE,69347-0280,(308)638-4434,(402)915-5126,13,SHERIDAN,russell.lechtenberg@hshawks.com
Blake Dahlberg,82-0001-000,LOUP CITY PUBLIC SCHOOLS,800 N 8TH ST,PO BOX 628,LOUP CITY,NE,68853-0628,(308)745-0120,(308)745-0130,10,SHERMAN,blake.dahlberg@lcpublic.org
Wade Finley,82-0015-000,LITCHFIELD PUBLIC SCHOOLS,500 N MAIN,PO BOX 167,LITCHFIELD,NE,68852-0167,(308)446-2244,(308)446-2244,10,SHERMAN,wade.finley@litchfieldps.org
Brett Gies,83-0500-000,SIOUX COUNTY PUBLIC SCHOOLS,435 KATE,PO BOX 38,HARRISON,NE,69346-0038,(308)668-2415,(308)668-2260,13,SIOUX,bgies@siouxcountyschools.org
Michael Sieh,84-0003-000,STANTON COMMUNITY SCHOOLS,1007 KINGWOOD ST,PO BOX 749,STANTON,NE,68779-0749,(402)439-2233,(402)439-2270,08,STANTON,msieh@esu8.org
Trudy Clark,85-2001-000,BRUNING-DAVENPORT UNIFIED SYS,106 N JUNIPER AVE,PO BOX 190,DAVENPORT,NE,68335-0190,(402)364-2225,(402)364-2477,05,THAYER,tclark@bdstorm.org
AL MEIER,85-0060-000,DESHLER PUBLIC SCHOOLS,1402 3RD ST,PO BOX 547,DESHLER,NE,68340-0547,(402)365-7272,(402)365-7560,05,THAYER,al.meier@deshlerdragons.org
Don   Weber,85-0703-000,DESHLER LUTHERAN ELEM SCHOOL,509 E HEBRON AVE,PO BOX 340,DESHLER,NE,68340-0340,(402)365-7858,(402)365-7858,05,THAYER,dweber55@yahoo.com
Drew Harris,85-0070-000,THAYER CENTRAL COMMUNITY SCHS,930 EADS AVE,PO BOX 9,HEBRON,NE,68370-0009,(402)768-6117,(402)768-6110,05,THAYER,drew.harris@thayercentral.net
GARY COOPER,86-0001-000,THEDFORD PUBLIC SCHOOLS,304 MAPLE ST,PO BOX 248,THEDFORD,NE,69166-0248,(308)645-2230,(308)645-2618,16,THOMAS,gary.cooper@thedfordschools.org
Michael Ashton,87-0701-000,ST AUGUSTINE ELEMENTARY SCHOOL,1 MISSION RD SO,PO BOX GG,WINNEBAGO,NE,68071-0766,(402)878-2291,(402)878-2760,01,THURSTON,mwashton@archomaha.org
Daniel Fehringer,87-0017-000,WINNEBAGO PUBLIC SCHOOLS,,PO BOX KK,WINNEBAGO,NE,68071-0769,(402)878-2224,(402)878-2472,01,THURSTON,dfehringer@winnebagok12.org
Stacie Hardy,87-0016-000,UMO N HO N NATION PUBLIC SCHS,470 MAIN ST,PO BOX 280,MACY,NE,68039-0280,(402)837-5622,(402)837-5245,01,THURSTON,shardy@unpsk-12.org
Jason Dolliver,87-0001-000,PENDER PUBLIC SCHOOLS,609 WHITNEY ST,,PENDER,NE,68047-5036,(402)385-3244,(402)385-2285,01,THURSTON,jadolli1@penderschools.org
Ed Stansberry,87-0013-000,WALTHILL PUBLIC SCHOOLS,602 MAIN ST,PO BOX 3C,WALTHILL,NE,68067-0563,(402)846-5432,(402)846-5029,01,THURSTON,estansberry@walthillschool.org
,88-0701-000,ST MARY'S ELEMENTARY SCHOOL,527 N 20TH ST,,ORD,NE,68862-1028,(308)728-5389,(308)728-3360,10,VALLEY,
Jason Alexander,88-0005-000,ORD PUBLIC SCHOOLS,320 N 19TH,,ORD,NE,68862-1355,(308)728-5013,(308)728-5108,10,VALLEY,jalexander@ordps.org
Jess Underwood,88-0021-000,ARCADIA PUBLIC SCHOOLS,320 W OWENS ST,PO BOX 248,ARCADIA,NE,68815-0248,(308)789-6522,(308)789-6214,10,VALLEY,jess.underwood@apshuskies.org
LYNN JOHNSON,89-0024-000,ARLINGTON PUBLIC SCHOOLS,705 NORTH 9TH,PO BOX 580,ARLINGTON,NE,68002-0580,(402)478-4173,(402)478-4176,03,WASHINGTON,lynn.johnson@apseagles.org
Don   Weber,89-0701-000,ST PAUL'S LUTHERAN ELEM SCHOOL,8951 COUNTY ROAD 9,,ARLINGTON,NE,68002-5030,(402)478-4278,(402)478-5378,03,WASHINGTON,dweber55@yahoo.com
DONALD JOHNSON,89-0003-000,FORT CALHOUN COMMUNITY SCHS,5876 COUNTY ROAD P43,PO BOX 430,FORT CALHOUN,NE,68023-0430,(402)468-5596,(402)468-5593,03,WASHINGTON,djohnson@ftcpioneers.org
REX PFEIL,89-0001-000,BLAIR COMMUNITY SCHOOLS,2232 WASHINGTON STREET,PO BOX 288,BLAIR,NE,68008-0288,(402)426-2610,(402)426-3110,03,WASHINGTON,rex.pfeil@blairschools.org
Mark Bejot,90-0560-000,WAKEFIELD PUBLIC SCHOOLS,802 HIGHLAND,PO BOX 330,WAKEFIELD,NE,68784-0330,(402)287-2012,(402)287-2014,01,WAYNE,mbejot@wakefieldschools.org
Michael Ashton,90-0702-000,ST MARY'S CATHOLIC SCHOOL,420 E 7TH ST,,WAYNE,NE,68787-2217,(402)375-2337,(402)375-5782,01,WAYNE,mwashton@archomaha.org
Michael Shoff,90-0595-000,WINSIDE PUBLIC SCHOOLS,203 CRAWFORD AVE,,WINSIDE,NE,68790-5107,(402)286-4466,(402)286-4582,01,WAYNE,mshoff@winsidewildcats.org
,90-0701-000,TRINITY LUTHERAN SCHOOLS,212 W 4TH,PO BOX 100,HOSKINS,NE,68740-0100,(402)565-4517,,08,WAYNE,
Mark Lenihan,90-0017-000,WAYNE COMMUNITY SCHOOLS,611 W 7TH ST,,WAYNE,NE,68787-1715,(402)375-3150,(402)375-5251,01,WAYNE,malenih1@waynebluedevils.org
Joel Ruybalid,91-0074-000,BLUE HILL PUBLIC SCHOOLS,,PO BOX 217,BLUE HILL,NE,68930-0217,(402)756-2085,(402)756-2086,09,WEBSTER,joelruybalid@bluehillschools.org
Brian Hof,91-0002-000,RED CLOUD COMMUNITY SCHOOLS,334 N CHERRY,,RED CLOUD,NE,68970-2246,(402)746-3413,(402)746-3690,09,WEBSTER,bhof@redcloudschool.us
Rodney Olson,92-0045-000,WHEELER CENTRAL SCHOOLS,600 RANDOLPH WEST,PO BOX 68,BARTLETT,NE,68622-0068,(308)654-3273,(308)654-3237,08,WHEELER,rodney.olson@wbroncs.org
Msgr   Reinert,93-0702-000,ST JOSEPH'S ELEMENTARY SCHOOL,428 EAST AVE,,YORK,NE,68467-3799,(402)362-3021,(402)362-4067,00,YORK,msgr.james-reinert@cdolinc.net
Mark   Otte,93-0703-000,NEBRASKA EV LUTHERAN SCHOOLS,203 KENDALL ST,,WACO,NE,68460-3000,(402)728-5236,(402)728-5433,06,YORK,motte@nelhs.org
Bradley Best,93-0096-000,HEARTLAND COMMUNITY SCHOOLS,1501 FRONT ST,,HENDERSON,NE,68371-8929,(402)723-4434,(402)723-4431,06,YORK,bbest@heartlandschools.net
Don   Weber,93-0701-000,EMMANUEL-FAITH LUTHERAN SCHOOL,806 N BEAVER  AVE,,YORK,NE,68467-2432,(402)362-6575,(402)362-5485,06,YORK,dweber55@yahoo.com
Curtis Cogswell,93-0083-000,MC COOL JUNCTION PUBLIC SCHS,209 S 2ND ST,PO BOX 278,MCCOOL JUNCTION,NE,68401-0278,(402)724-2231,(402)724-2232,06,YORK,ccogswell@mcjmustangs.org
Dr. Michael Lucas,93-0012-000,YORK PUBLIC SCHOOLS,1715 N DELAWARE AVE,,YORK,NE,68467-,(402)362-6655,(402)362-6943,06,YORK,mike.lucas@yorkdukes.org
